0,1
0.7394782304763794,0.7298328876495361
0.7176250219345093,0.7149691581726074
0.7121342420578003,0.7103838920593262
0.707656741142273,0.7057022452354431
0.7038804292678833,0.7023234963417053
0.7006466388702393,0.6986896991729736
0.6963039636611938,0.6969822645187378
0.6939947605133057,0.6937402486801147
0.6909714341163635,0.6913731098175049
0.6881721615791321,0.6894001364707947
0.6867009401321411,0.6878977417945862
0.6838839650154114,0.6862884759902954
0.6807565093040466,0.6850632429122925
0.6780976057052612,0.6823864579200745
0.6749803423881531,0.6799302697181702
0.6724408864974976,0.6767468452453613
0.6696714758872986,0.6727360486984253
0.6663370132446289,0.6677599549293518
0.6626847982406616,0.6621559262275696
0.6584973335266113,0.6580570936203003
0.6530754566192627,0.6498003602027893
0.6500435471534729,0.6436982750892639
0.6456377506256104,0.6358798146247864
0.6425802111625671,0.6285702586174011
0.6379901766777039,0.625042200088501
0.6352425813674927,0.6211503148078918
0.6318122744560242,0.6153098940849304
0.627946138381958,0.6112022399902344
0.6247827410697937,0.6086605787277222
0.6221027970314026,0.6047480702400208
0.6195275783538818,0.6023367047309875
0.6151094436645508,0.5994706153869629
0.6125989556312561,0.5979040861129761
0.610572099685669,0.5949352383613586
0.6061205863952637,0.5936191082000732
0.6024456024169922,0.5902702212333679
0.599144697189331,0.5881920456886292
0.5953903794288635,0.5876451730728149
0.592243492603302,0.5860798358917236
0.5891351699829102,0.5879263877868652
0.584113597869873,0.5822829604148865
0.5811229348182678,0.5809559226036072
0.5786168575286865,0.5788906812667847
0.5746539831161499,0.5780174732208252
0.5719444155693054,0.5761155486106873
0.5693266987800598,0.5771743059158325
0.5687674880027771,0.5717110633850098
0.5658776760101318,0.5716224312782288
0.5638677477836609,0.5698897242546082
0.561323881149292,0.5695365071296692
0.5602144598960876,0.5671249032020569
0.5606597065925598,0.5671099424362183
0.5597120523452759,0.5644224882125854
0.5565762519836426,0.5623062252998352
0.5554737448692322,0.5616134405136108
0.5541782379150391,0.5628601312637329
0.5529860258102417,0.5608698129653931
0.5514035224914551,0.5600584745407104
0.5508961081504822,0.5595386028289795
0.5508071780204773,0.5583792328834534
0.5494326949119568,0.5576074123382568
0.5495054125785828,0.5547376871109009
0.5487502217292786,0.5550407767295837
0.5459555983543396,0.5525469779968262
0.5448527336120605,0.5524790287017822
0.545383870601654,0.5542997717857361
0.5443277955055237,0.5498746633529663
0.5431261658668518,0.5496131181716919
0.5430606007575989,0.550123393535614
0.5425511002540588,0.548771321773529
0.5412207245826721,0.5476425886154175
0.54136723279953,0.5460856556892395
